Chain 2 - Calibration: 1 - Project: Test3 - 2022131 6 32 - 
CRBE: GV = NAV DV = +1.434V DI = +13.900mA    -   RTBE: GV = NAV DV = +1.420V DI = +16.000mA 
Center Frequency     = 0.075GHz    Marker Frequency     = 0.075GHz    Resolution Bandwidth = 8MHz    Video Bandwidth      = 10Hz    Frequency Span       = 25MHz    Power Bandwidth      = 24MHz    Attenuation          = 10dB
Frequency (GHz),Loss (dB),Cold Powers (dBm),Hot Powers (dBm),Hot Load Temps (K),Hot LNA Temps (K),Cold Load Temps (K),Cold LNA Temps (K),Calibrated Noise Temp (K),Pre Cold Measurement LNA Temp (K),Post Cold Measurement LNA Temp (K),Pre Hot Measurement LNA Temp (K),Post Hot Measurement LNA Temp (K),Pre Cold Measurement 1st Extra Temp (K),Post Cold Measurement 1st Extra Temp (K),Pre Hot Measurement 1st Extra Temp (K),Post Hot Measurement 1st Extra Temp (K),Pre Cold Measurement 2nd Extra Temp (K),Post Cold Measurement 2nd Extra Temp (K),Pre Hot Measurement 2nd Extra Temp (K),Post Hot Measurement 2nd Extra Temp (K)
67.0,1.324360559,-51.25,-41.99,50.63,50.27,20.15,19.62,27.80026675319753,19.62,19.62,50.27,50.27,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
68.0,1.305100073,-49.52,-57.34,50.63,50.27,20.29,19.62,54.58479186488266,19.62,19.62,50.27,50.27,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
69.0,1.289168967,-54.12,-47.77,50.730000000000004,50.27,20.189999999999998,19.62,24.482919573425363,19.62,19.62,50.27,50.27,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
70.0,1.275744983,-56.68,-57.18,50.63,50.27,20.25,19.62,215.96524089674318,19.62,19.62,50.27,50.27,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
71.0,1.264262719,-47.08,-40.69,50.690000000000005,50.27,20.3,19.62,24.389968669899602,19.62,19.62,50.27,50.27,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
72.0,1.254319282,-58.89,-48.53,50.75,50.27,20.259999999999998,19.62,28.459866571525133,19.62,19.62,50.27,50.27,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
73.0,1.245618994,-45.36,-50.23,50.77,50.27,20.25,19.62,60.47469616593279,19.62,19.62,50.27,50.27,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
74.0,1.237939437,-53.43,-59.14,50.6,50.27,20.14,19.62,57.941717635104055,19.62,19.62,50.27,50.27,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
75.0,1.231109736,-51.43,-53.2,50.620000000000005,50.27,20.259999999999998,19.62,90.7288026049634,19.62,19.62,50.27,50.27,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
76.0,1.224996214,-59.95,-47.47,50.71,50.27,20.189999999999998,19.62,29.32674465647516,19.62,19.62,50.27,50.27,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
