Chain 2 - Calibration: 4 - Project: Test3 - 2022131 7 46 - 
CRBE: GV = NAV DV = +1.434V DI = +13.900mA    -   RTBE: GV = NAV DV = +1.420V DI = +16.000mA 
Center Frequency     = 0.075GHz    Marker Frequency     = 0.075GHz    Resolution Bandwidth = 8MHz    Video Bandwidth      = 10Hz    Frequency Span       = 25MHz    Power Bandwidth      = 24MHz    Attenuation          = 10dB
Frequency (GHz),Loss (dB),Cold Powers (dBm),Hot Powers (dBm),Hot Load Temps (K),Hot LNA Temps (K),Cold Load Temps (K),Cold LNA Temps (K),Calibrated Noise Temp (K),Pre Cold Measurement LNA Temp (K),Post Cold Measurement LNA Temp (K),Pre Hot Measurement LNA Temp (K),Post Hot Measurement LNA Temp (K),Pre Cold Measurement 1st Extra Temp (K),Post Cold Measurement 1st Extra Temp (K),Pre Hot Measurement 1st Extra Temp (K),Post Hot Measurement 1st Extra Temp (K),Pre Cold Measurement 2nd Extra Temp (K),Post Cold Measurement 2nd Extra Temp (K),Pre Hot Measurement 2nd Extra Temp (K),Post Hot Measurement 2nd Extra Temp (K)
67.0,1.324360559,-49.43,-44.26,50.790000000000006,21.0,20.3,21.0,-8.779894825195226,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
68.0,1.305100073,-45.19,-48.21,50.63,21.0,20.22,21.0,-73.56894659929733,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
69.0,1.289168967,-52.73,-59.36,50.800000000000004,21.0,20.259999999999998,21.0,-54.7879393651765,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
70.0,1.275744983,-52.37,-44.88,50.690000000000005,21.0,20.11,21.0,-14.326187806995838,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
71.0,1.264262719,-51.24,-54.19,50.800000000000004,21.0,20.279999999999998,21.0,-75.51715598259543,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
72.0,1.254319282,-43.28,-43.78,50.720000000000006,21.0,20.279999999999998,21.0,-270.7088045145907,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
73.0,1.245618994,-45.06,-54.04,50.71,21.0,20.2,21.0,-51.62609989776566,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
74.0,1.237939437,-58.66,-55.94,50.720000000000006,21.0,20.22,21.0,11.232013090041038,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
75.0,1.231109736,-54.46,-55.35,50.63,21.0,20.16,21.0,-168.64716589164678,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
76.0,1.224996214,-51.26,-54.83,50.74,21.0,20.259999999999998,21.0,-69.52972599219221,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
77.0,1.219492624,-44.86,-47.86,50.800000000000004,21.0,20.3,21.0,-75.801577904645,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
78.0,1.214513339,-55.07,-45.87,50.68,21.0,20.29,21.0,-16.582331076568778,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
79.0,1.209988499,-49.93,-47.11,50.7,21.0,20.11,21.0,10.259938872673029,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
80.0,1.205860474,-48.06,-50.72,50.63,21.0,20.12,21.0,-80.92337720727272,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
81.0,1.202081256,-52.95,-50.32,50.67,21.0,20.099999999999998,21.0,13.35390875679216,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
82.0,1.198610492,-52.6,-50.71,50.690000000000005,21.0,20.2,21.0,30.855009329085682,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
83.0,1.195413991,-54.83,-57.46,50.730000000000004,21.0,20.23,21.0,-81.76158269955324,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
