Chain 2 - Calibration: 2 - Project: Test3 - 2022131 7 21 - 
CRBE: GV = NAV DV = +1.434V DI = +13.900mA    -   RTBE: GV = NAV DV = +1.420V DI = +16.000mA 
Center Frequency     = 0.075GHz    Marker Frequency     = 0.075GHz    Resolution Bandwidth = 8MHz    Video Bandwidth      = 10Hz    Frequency Span       = 25MHz    Power Bandwidth      = 24MHz    Attenuation          = 10dB
Frequency (GHz),Loss (dB),Cold Powers (dBm),Hot Powers (dBm),Hot Load Temps (K),Hot LNA Temps (K),Cold Load Temps (K),Cold LNA Temps (K),Calibrated Noise Temp (K),Pre Cold Measurement LNA Temp (K),Post Cold Measurement LNA Temp (K),Pre Hot Measurement LNA Temp (K),Post Hot Measurement LNA Temp (K),Pre Cold Measurement 1st Extra Temp (K),Post Cold Measurement 1st Extra Temp (K),Pre Hot Measurement 1st Extra Temp (K),Post Hot Measurement 1st Extra Temp (K),Pre Cold Measurement 2nd Extra Temp (K),Post Cold Measurement 2nd Extra Temp (K),Pre Hot Measurement 2nd Extra Temp (K),Post Hot Measurement 2nd Extra Temp (K)
67.0,1.324360559,-43.47,-55.1,50.67,21.0,20.27,21.0,48.357697823242496,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
68.0,1.305100073,-47.95,-44.51,50.720000000000006,21.0,20.25,21.0,9.899566028137592,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
69.0,1.289168967,-42.2,-41.58,50.77,21.0,20.27,21.0,-105.72747534836756,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
70.0,1.275744983,-59.59,-53.84,50.760000000000005,21.0,20.11,21.0,19.864354289171377,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
71.0,1.264262719,-47.8,-58.86,50.660000000000004,21.0,20.23,21.0,49.154202533105426,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
72.0,1.254319282,-56.12,-42.86,50.760000000000005,21.0,20.15,21.0,26.37489614451499,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
73.0,1.245618994,-48.38,-41.55,50.68,21.0,20.21,21.0,22.031416013401206,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
74.0,1.237939437,-47.09,-47.56,50.71,21.0,20.24,21.0,225.4922203816778,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
75.0,1.231109736,-57.25,-48.17,50.660000000000004,21.0,20.22,21.0,24.609539230750915,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
76.0,1.224996214,-54.28,-49.5,50.800000000000004,21.0,20.189999999999998,21.0,17.58877876889258,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
77.0,1.219492624,-58.04,-52.76,50.660000000000004,21.0,20.22,21.0,19.045889951708105,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
78.0,1.214513339,-48.99,-45.85,50.730000000000004,21.0,20.15,21.0,8.708210909665624,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
79.0,1.209988499,-46.38,-43.4,50.67,21.0,20.24,21.0,7.098742046560972,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
80.0,1.205860474,-43.41,-49.03,50.71,21.0,20.22,21.0,55.74632264718586,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
81.0,1.202081256,-59.67,-42.04,50.64,21.0,20.259999999999998,21.0,27.37897676081335,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
82.0,1.198610492,-56.24,-54.62,50.650000000000006,21.0,20.23,21.0,-17.080256808985077,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
83.0,1.195413991,-58.18,-47.18,50.77,21.0,20.15,21.0,26.285628051515626,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
84.0,1.192462571,-49.65,-54.35,50.660000000000004,21.0,20.3,21.0,58.61803407970888,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
85.0,1.189731153,-56.49,-56.71,50.620000000000005,21.0,20.27,21.0,439.42987429952757,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
86.0,1.187198054,-47.38,-49.22,50.650000000000006,21.0,20.15,21.0,86.55913833791601,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
87.0,1.184844418,-58.62,-55.85,50.6,21.0,20.189999999999998,21.0,5.259574437380188,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
88.0,1.182653766,-45.51,-52.32,50.71,21.0,20.169999999999998,21.0,53.66862588113419,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
89.0,1.180611618,-49.57,-51.26,50.6,21.0,20.259999999999998,21.0,90.97342777195392,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
90.0,1.178705202,-54.93,-56.7,50.730000000000004,21.0,20.16,21.0,88.60140490889049,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
91.0,1.176923196,-59.03,-51.18,50.660000000000004,21.0,20.27,21.0,24.042196122858908,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
92.0,1.175255531,-55.72,-40.22,50.660000000000004,21.0,20.11,21.0,27.61326429183533,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
93.0,1.173693216,-53.82,-48.12,50.61,21.0,20.24,21.0,20.575181380959126,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
94.0,1.172228195,-49.68,-54.69,50.730000000000004,21.0,20.25,21.0,57.83591518804113,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
95.0,1.170853227,-45.59,-43.36,50.71,21.0,20.15,21.0,-1.8618433661366112,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
96.0,1.169561781,-51.93,-51.55,50.74,21.0,20.169999999999998,21.0,-192.97613929238526,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
97.0,1.168347956,-53.63,-53.82,50.67,21.0,20.099999999999998,21.0,499.4217411413092,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
98.0,1.167206396,-49.81,-45.21,50.730000000000004,21.0,20.189999999999998,21.0,17.535561641344966,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
99.0,1.166132237,-52.44,-49.63,50.760000000000005,21.0,20.16,21.0,6.126743744061692,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
