Chain 1 - Calibration: 5.0 - Project: ESO LNAs - 2022215 14 5 - NA
CRBE: GV = NAV DV = +1.434V DI = 13.900mA    -   RTBE: GV = NAV DV = +1.420V DI = 16.000mA 
Center Frequency     = 0.075GHz    Marker Frequency     = 0.075GHz    Resolution Bandwidth = 8MHz    Video Bandwidth      = 10Hz    Frequency Span       = 25MHz    Power Bandwidth      = 24MHz    Attenuation          = 10dB
Frequency (GHz),Loss (dB),Cold Powers (dBm),Hot Powers (dBm),Hot Load Temps (K),Hot LNA Temps (K),Cold Load Temps (K),Cold LNA Temps (K),Calibrated Noise Temp (K),Pre Cold Measurement LNA Temp (K),Post Cold Measurement LNA Temp (K),Pre Hot Measurement LNA Temp (K),Post Hot Measurement LNA Temp (K),Pre Cold Measurement 1st Extra Temp (K),Post Cold Measurement 1st Extra Temp (K),Pre Hot Measurement 1st Extra Temp (K),Post Hot Measurement 1st Extra Temp (K),Pre Cold Measurement 2nd Extra Temp (K),Post Cold Measurement 2nd Extra Temp (K),Pre Hot Measurement 2nd Extra Temp (K),Post Hot Measurement 2nd Extra Temp (K)
67.0,1.324360559,-66.528,-62.989,59.9883,21.2883,19.9124,21.2883,7.651525980035568,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
67.2,1.320190264,-67.635,-66.766,59.9851,21.2883,19.9263,21.2883,137.7246874205971,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
67.4,1.316189233,-68.278,-67.458,59.9991,21.2883,19.916,21.2883,148.4892700229922,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
67.60000000000001,1.312346861,-68.546,-67.89,60.0262,21.2883,19.9145,21.2883,195.22161323177576,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
67.80000000000001,1.308653442,-68.213,-67.605,60.0594,21.2883,19.9185,21.2883,214.02121792717324,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
68.00000000000001,1.305100073,-68.375,-67.716,60.0883,21.2883,19.9119,21.2883,195.08491637002965,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
68.20000000000002,1.301678573,-69.168,-68.42,60.112,21.2883,19.9136,21.2883,167.83772361616752,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
68.40000000000002,1.298381406,-70.169,-69.656,60.1249,21.2883,19.9135,21.2883,262.05437486679193,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
68.60000000000002,1.29520162,-69.39,-68.669,60.127,21.2883,19.9106,21.2883,176.05943038853002,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
68.80000000000003,1.292132789,-68.748,-67.916,60.119,21.2883,19.9122,21.2883,147.8207821420966,21.2883,21.2883,21.2883,21.2883,NA,NA,NA,NA,NA,NA,NA,NA
