Chain,1,Calibration:,1,Project:,Caruso,Date/Time:,2022 6 9 16 36,Comment:,Cal Ch1
CRBE:,GV(V),+0.034,DV(V),+1.200,DI(mA),12.000,RTBE:,GV(V),-0.177,DV(V),+1.220,DI(mA),16.000
['Center Frequency (GHz)'\, '0.075'\, 'Marker Frequency (GHz)'\, '0.075'\, 'Resolution Bandwidth (MHz)'\, '8'\, 'Video Bandwidth (Hz)'\, '10'\, 'Frequency Span (MHz)'\, '25'\, 'Power Bandwidth (MHz)'\, '24'\, 'Attenuation (dB)'\, '10']
Frequency (GHz),Loss (dB),Cold Powers (dBm),Hot Powers (dBm),Hot Load Temps (K),Hot LNA Temps (K),Cold Load Temps (K),Cold LNA Temps (K),Calibrated Noise Temp (K),Pre Cold Measurement LNA Temp (K),Post Cold Measurement LNA Temp (K),Pre Hot Measurement LNA Temp (K),Post Hot Measurement LNA Temp (K),Pre Cold Measurement 1st Extra Temp (K),Post Cold Measurement 1st Extra Temp (K),Pre Hot Measurement 1st Extra Temp (K),Post Hot Measurement 1st Extra Temp (K),Pre Cold Measurement 2nd Extra Temp (K),Post Cold Measurement 2nd Extra Temp (K),Pre Hot Measurement 2nd Extra Temp (K),Post Hot Measurement 2nd Extra Temp (K),Cold Loop Times (s),Hot Loop Times (s)
67.0,1.324360559,-65.922,-65.556,50.1374,17.30075,19.9097,14.89285,283.8359871624126,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,1.739499799999976,1.7276211999999305
67.2,1.320190264,-65.227,-65.032,50.1336,17.30075,19.9107,14.89285,561.7615066530796,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,3.474583800000005,3.444610399999874
67.4,1.316189233,-61.007,-60.902,50.1325,17.30075,19.9104,14.89285,1072.496951371138,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,5.195189199999959,5.1582195999999385
67.60000000000001,1.312346861,-61.177,-61.016,50.1305,17.30075,19.9106,14.89285,688.9914018784588,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,8.369896899999958,6.963579399999844
67.80000000000001,1.308653442,-64.22,-64.141,50.131,17.30075,19.9105,14.89285,1439.727276024112,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,10.168330399999945,8.755766999999878
68.00000000000001,1.305100073,-67.419,-67.278,50.1308,17.30075,19.9108,14.89285,793.2754846209009,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,11.968238199999973,10.547566299999971
68.20000000000002,1.301678573,-68.103,-67.892,50.1319,17.30075,19.9107,14.89285,519.9453246242199,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,13.78181649999999,12.341880499999888
68.40000000000002,1.298381406,-66.452,-66.164,50.1332,17.30075,19.9111,14.89285,372.6899224396062,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,15.57490359999997,14.137063399999988
68.60000000000002,1.29520162,-67.461,-67.013,50.1331,17.30075,19.9109,14.89285,228.28710964255703,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,17.365339399999925,15.94498479999993
68.80000000000003,1.292132789,-66.992,-66.757,50.1332,17.30075,19.9111,14.89285,465.0745151760232,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,19.169486399999982,17.739637799999855
69.00000000000003,1.289168967,-67.968,-67.711,50.1329,17.30075,19.9108,14.89285,422.91596160823127,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,20.977679399999943,19.547702599999866
69.20000000000003,1.286304637,-66.797,-66.633,50.1338,17.30075,19.9108,14.89285,681.9139854158401,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,22.767717199999993,21.33858969999983
69.40000000000003,1.283534677,-65.784,-65.637,50.1338,17.30075,19.9111,14.89285,765.276962371384,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,24.57024619999993,23.127970699999878
69.60000000000004,1.280854324,-65.382,-65.172,50.1336,17.30075,19.9109,14.89285,526.3916070669509,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,26.382809599999973,24.917253399999936
69.80000000000004,1.278259138,-63.761,-63.631,50.1338,17.30075,19.911,14.89285,871.2215914692072,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,28.17949349999992,26.723977399999967
70.00000000000004,1.275744983,-63.736,-63.571,50.1337,17.30075,19.9113,14.89285,680.0647303278981,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,29.981837499999983,28.521820299999945
70.20000000000005,1.273307991,-60.86,-60.753,50.1349,17.30075,19.9111,14.89285,1067.4017484785875,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,31.801236000000017,30.338380499999857
70.40000000000005,1.270944549,-58.59,-58.438,50.1341,17.30075,19.9112,14.89285,742.2857100069949,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,33.60831669999993,32.14547440000001
70.60000000000005,1.268651272,-61.011,-60.834,50.1352,17.30075,19.9113,14.89285,633.3508908123506,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,35.40914329999998,33.95010329999991
70.80000000000005,1.266424988,-58.568,-58.409,50.135,17.30075,19.9111,14.89285,709.3157439049104,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,37.21222249999994,35.75923119999993
71.00000000000006,1.264262719,-65.892,-65.416,50.1349,17.30075,19.9113,14.89285,215.38389096925272,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,39.018229099999985,37.587873199999876
71.20000000000006,1.262161669,-62.628,-62.386,50.1356,17.30075,19.9111,14.89285,455.51272980549305,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,40.81883700000003,39.413495899999816
71.40000000000006,1.260119207,-63.368,-63.113,50.1352,17.30075,19.9114,14.89285,430.92806273355706,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,42.62354499999992,41.22497609999982
71.60000000000007,1.258132855,-64.14,-64.03,50.1351,17.30075,19.9112,14.89285,1042.9359050494268,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,44.42731309999999,43.015445
71.80000000000007,1.256200281,-64.096,-63.86,50.1355,17.30075,19.9114,14.89285,468.9209157512727,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,46.24093819999996,44.82139669999992
72.00000000000007,1.254319282,-65.356,-65.036,50.136,17.30075,19.9113,14.89285,337.47804603143817,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,48.037104,46.62446729999988
72.20000000000007,1.252487779,-69.404,-68.695,50.1358,17.30075,19.9112,14.89285,134.58835347981778,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,49.85279189999994,48.40860459999999
72.40000000000008,1.250703808,-68.103,-67.682,50.1358,17.30075,19.9114,14.89285,249.01636430437188,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,51.65921960000003,50.21001299999989
72.60000000000008,1.248965511,-67.585,-67.123,50.1363,17.30075,19.9112,14.89285,224.17712862524556,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,53.46168920000002,52.00544439999999
72.80000000000008,1.247271129,-66.442,-66.068,50.1358,17.30075,19.9114,14.89285,284.77153784438485,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,55.25768649999998,53.8172983999998
73.00000000000009,1.245618994,-66.21,-65.809,50.1366,17.30075,19.9115,14.89285,263.56628512093835,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,57.039281200000005,55.60921089999988
73.20000000000009,1.244007526,-66.152,-65.776,50.1357,17.30075,19.9116,14.89285,283.42250685885375,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,58.83085189999997,57.40369059999989
73.40000000000009,1.242435226,-65.411,-65.085,50.1358,17.30075,19.9119,14.89285,332.1011892887904,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,60.623855100000014,59.21742899999981
73.6000000000001,1.240900669,-65.641,-65.315,50.1362,17.30075,19.9115,14.89285,332.2991247003432,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,62.44849149999993,61.003099599999814
73.8000000000001,1.239402502,-63.552,-63.333,50.136,17.30075,19.9114,14.89285,510.9712193177636,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,64.24435540000002,62.81809139999996
74.0000000000001,1.237939437,-63.638,-63.332,50.1363,17.30075,19.9115,14.89285,356.5514306586752,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,66.05237279999994,64.62169479999989
74.2000000000001,1.236510249,-63.663,-63.387,50.1366,17.30075,19.9115,14.89285,399.08934277088065,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,67.83688959999995,66.43442149999987
74.4000000000001,1.235113771,-65.068,-64.44,50.1367,17.30075,19.9116,14.89285,157.1714266389213,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,69.63053189999994,68.24472739999987
74.60000000000011,1.233748892,-65.266,-64.608,50.136,17.30075,19.9113,14.89285,148.60237236648962,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,71.44101890000002,70.19352089999984
74.80000000000011,1.232414551,-60.817,-60.55,50.1372,17.30075,19.9117,14.89285,414.28050435331227,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,73.24050649999992,72.0238961
75.00000000000011,1.231109736,-59.778,-59.664,50.1367,17.30075,19.9115,14.89285,1015.0066292312878,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,75.06081919999997,73.8399586999999
75.20000000000012,1.229833482,-60.008,-59.764,50.1368,17.30075,19.9116,14.89285,456.8632294064116,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,76.87800519999996,75.68849969999997
75.40000000000012,1.228584866,-61.838,-61.495,50.1367,17.30075,19.9113,14.89285,315.65976858049925,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,78.68200059999992,77.4818831
75.60000000000012,1.227363006,-61.106,-60.9,50.137,17.30075,19.9117,14.89285,547.716684585751,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,80.50167799999997,79.28406389999986
75.80000000000013,1.226167058,-62.911,-62.582,50.1372,17.30075,19.9116,14.89285,330.7911978110393,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,82.29936829999997,81.12007589999985
76.00000000000013,1.224996214,-65.607,-65.106,50.1368,17.30075,19.9116,14.89285,206.0645938797522,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,84.1001708,82.9316816999999
76.20000000000013,1.223849703,-61.477,-61.332,50.1369,17.30075,19.9118,14.89285,793.0403389053494,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,85.8946201,84.73033929999997
76.40000000000013,1.222726784,-65.988,-65.621,50.1372,17.30075,19.9117,14.89285,293.519812529718,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,87.69212370000002,86.52609489999986
76.60000000000014,1.221626746,-67.239,-66.891,50.1382,17.30075,19.9116,14.89285,311.48063930907165,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,89.49534399999993,88.31878889999984
76.80000000000014,1.220548911,-67.654,-67.023,50.1378,17.30075,19.9114,14.89285,157.17228336902423,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,91.28853900000001,90.12806019999994
77.00000000000014,1.219492624,-68.714,-68.058,50.1376,17.30075,19.9116,14.89285,150.00172268077975,14.908,14.8777,17.2562,17.3453,NA,NA,NA,NA,NA,NA,NA,NA,93.09198830000003,91.9314996999999
